Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
/user/login,1,79,79,79,0.00,0.000%,12.65823,6.77,3.03,548.0
创建秒杀活动,1,10,10,10,0.00,0.000%,100.00000,53.91,119.53,552.0
上架活动,1,13,13,13,0.00,0.000%,76.92308,21.18,29.30,282.0
JSR223 Sampler,1,9,9,9,0.00,0.000%,111.11111,0.00,0.00,.0
调试取样器,1001,0,0,1,0.19,0.000%,327.33813,199.46,0.00,624.0
/seckill/order高并发涌入,1000,2,1,10,0.71,0.000%,329.27231,92.93,123.22,289.0
/leaderboard/top,1158,2,1,9,0.89,0.000%,69.06423,18.88,10.12,280.0
/live/rooms,60,4,2,13,1.79,0.000%,3.83779,1.59,0.47,424.0
/leaderboard/score,97,3,2,7,1.11,0.000%,6.40433,1.76,2.74,282.0
/auth/login,176,82,72,100,4.99,0.000%,13.12649,7.03,3.57,548.5
/auth/register,51,80,3,102,16.44,3.922%,5.19984,1.52,1.17,299.5
总体,3547,7,0,102,19.90,0.056%,151.67194,58.62,27.96,395.8
