Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
/seckill/order高并发涌入,100000,77,64,156,188,264,4,361,0.000%,1408.66895,447.09,554.10
/seckill/order高并发涌入2,100000,94,86,175,210,330,5,520,0.000%,1317.71403,418.22,518.32
/seckill/order-450-45,100000,118,112,217,247,309,6,434,0.000%,1298.60011,412.15,510.80
/seckill/order-450-45-2,100000,123,113,226,266,371,5,570,0.000%,1280.67210,406.46,503.75
/seckill/order-400-40-1,100000,108,100,194,230,325,6,739,0.000%,1267.10593,402.16,498.41
/seckill/order-400-40-2,100000,91,83,165,187,238,6,526,0.000%,1341.74158,425.85,527.77
/seckill/order-400-40-3,100000,87,79,165,197,260,5,408,0.000%,1363.34510,432.70,536.27
/seckill/order-350-35-1,100000,81,69,155,190,264,5,538,0.000%,1299.68028,412.50,511.23
/seckill/order-350-35-2,100000,84,74,158,188,242,5,498,0.000%,1289.25790,409.19,507.13
总体,900000,96,85,183,217,304,4,739,0.000%,437.55293,138.87,172.11
