Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
/user/login,1,1644,1644,1644,0.00,0.000%,.60827,0.33,0.15,548.0
创建秒杀活动,1,233,233,233,0.00,0.000%,4.29185,2.31,5.13,552.0
上架活动,1,284,284,284,0.00,0.000%,3.52113,0.97,1.34,282.0
JSR223 Sampler,1,25,25,25,0.00,0.000%,40.00000,0.00,0.00,.0
调试取样器,1001,0,0,2,0.22,0.000%,329.16804,200.57,0.00,624.0
/seckill/order高并发涌入,1000,23,2,479,67.25,0.000%,332.44681,94.90,124.41,292.3
/leaderboard/top,10081,3,1,462,10.49,0.000%,85.54602,23.39,12.53,280.0
/leaderboard/score,910,3,2,131,4.40,0.000%,7.82056,2.15,3.34,282.0
/live/rooms,2726,5,2,840,18.31,0.000%,23.41301,9.69,2.88,424.0
/auth/login,1775,102,81,417,21.45,0.000%,15.55149,8.34,4.24,548.9
/auth/register,571,84,2,559,38.90,15.762%,5.13933,1.51,1.17,300.6
总体,18068,17,0,1644,40.12,0.498%,142.85488,48.64,25.22,348.6
